"key","english","amharic","translator_draft","manual_review","notes"
"all_surahs_downloaded","All surahs will be downloaded.","ሁሉም ሱራዎች ይወረዳሉ።","","",""
"amharic","Amharic","አማርኛ","","",""
"app_settings","App Settings","የመተግበሪያ ቅንብሮች","","",""
"app_title","Baraka30","Baraka30","","",""
"assalamu_alaikum","Assalamu Alaikum","ሰላም እንዴት ነው","","",""
"audio","Audio","ድምጽ","","",""
"ayah_loading","","የዛሬን አያት በመጫን ላይ...","","",""
"ayah_of_day","Ayah of the Day","የዛሬ አያት","","",""
"cancel","Cancel","ተው","","",""
"checking","Checking...","በመመርመር ላይ...","","",""
"checklist_asr","Asr + Read {pages} Pages","አስር + {pages} ገጾች አንብብ","","",""
"checklist_dhikr","Morning/Evening Dhikr","የጠዋት/የማታ ዝክር","","",""
"checklist_dhuhr","Dhuhr + Read {pages} Pages","ዙህር + {pages} ገጾች አንብብ","","",""
"checklist_fajr","Fajr + Read {pages} Pages","ፈጅር + {pages} ገጾች አንብብ","","",""
"checklist_isha","Isha + Read {pages} Pages","ኢሻ + {pages} ገጾች አንብብ","","",""
"checklist_maghrib","Maghrib + Read {pages} Pages","መግሪብ + {pages} ገጾች አንብብ","","",""
"checklist_taraweeh","Taraweeh/Tahajjud","ተራዊህ/ተሐጅዱ","","",""
"continuous_playback_active","Continuous playback active... (long-press and choose Stop Continuous Play)","ቀጥታ መቀጠል በመጫወት ላይ... (ረዥም ጫን እና ቀጥታ አቁም ምረጥ)","","",""
"continuous_playback_finished","Continuous playback finished.","ቀጥታ መጫወት ተጠናቀቀ።","","",""
"continuous_tap_play_off","Continuous Tap Play: Off","በመንካት ቀጥታ ማጫወት: ጠፍቷል","","",""
"continuous_tap_play_on","Continuous Tap Play: On","በመንካት ቀጥታ ማጫወት: በርቷል","","",""
"could_not_continue","Could not continue playback.","መቀጠል አልተቻለም።","","",""
"could_not_play_verse","Could not play this verse audio.","የዚህ አያት ድምጽ ማጫወት አልተቻለም።","","",""
"could_not_start_continuous","Could not start continuous audio.","ቀጥታ ድምጽ መጀመር አልተቻለም።","","",""
"custom_dhikr","Custom","ራስህ ምርጫ","","",""
"daily_checklist","Daily Checklist","የዕለት ተዕለት ዝርዝር","","",""
"daily_goal","Daily Goal","ዕለታዊ ግብ","","",""
"daily_niyyah","DAILY NIYYAH","የዕለት ነድያህ","","",""
"daily_quran_target","Daily Quran Target","የዕለት ቁርአን ግብ","","",""
